Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌https://getbootstrap.com/docs/4.5/content/tables/https://getbootstrap.com/docs/4.5/content/tables/https://getbootstrap.com/docs/4.5/content/tables/
https://getbootstrap.com/docs/4.5/content/tables/
https://getbootstrap.com/docs/4.5/content/tables/
<input id="cafe" name="cafe" required type="text" value="gghghhgh">,<input id="cafe_url" name="cafe_url" required type="text" value="https://getbootstrap.com/docs/4.5/content/tables/">,<input id="open_time" name="open_time" required type="text" value="5am">,<input id="close_time" name="close_time" required type="text" value="4am">,<select id="coffee_rating" name="coffee_rating" required style="width: 16ch"><option selected value="✘">✘</option><option value="☕️">☕️</option><option value="☕️☕️">☕️☕️</option><option value="☕️☕️☕️">☕️☕️☕️</option><option value="☕️☕️☕️☕️">☕️☕️☕️☕️</option><option value="☕️☕️☕️☕️☕️">☕️☕️☕️☕️☕️</option></select>,<select id="wifi" name="wifi" required style="width: 16ch"><option selected value="✘">✘</option><option value="📶">📶</option><option value="📶📶">📶📶</option><option value="📶📶📶">📶📶📶</option><option value="📶📶📶📶">📶📶📶📶</option></select>,<select id="power_socketing" name="power_socketing" required style="width: 16ch"><option selected value="✘">✘</option><option value="🔌">🔌</option><option value="🔌🔌">🔌🔌</option><option value="🔌🔌🔌">🔌🔌🔌</option><option value="🔌🔌🔌🔌">🔌🔌🔌🔌</option></select>
gghghhgh,https://getbootstrap.com/docs/4.5/content/tables/,5am,4am,✘,✘,✘
gghghhgh,https://getbootstrap.com/docs/4.5/content/tables/,5am,dfdf,✘,✘,✘
gghghhgh,https://getbootstrap.com/docs/4.5/content/tables/,6:00AM,7:00PM,☕️☕️☕️☕️☕️,📶📶,🔌🔌🔌
